Product ID,Handle,Title,Product Type,Created At,Updated At,Vendor,Tags,Image Src,Variant Price,Variant SKU,Variant Barcode,Body HTML,Variant Weight,Image 1 Src,Image 2 Src,Image 3 Src,rating,stockStatus,quantity,ageGroup,Breadcrumb,recommendationTag,reviewsCount,starDistribution
7679504941227,toy-inside-001,Toy Inside 001,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Emotional, Games & Puzzles, Language and Communication, Memory, Social, Visual",https://atlas-content-cdn.pixelsquid.com/stock-images/toy-inside-001-toys-L86q49B-600.jpg,35,1161,7679504941227,"A colorful foam play mat featuring numbers printed on each interlocking piece. This educational toy helps children learn numbers, count, and develop fine motor skills. The soft foam material provides a comfortable and safe play surface.",0,https://atlas-content-cdn.pixelsquid.com/stock-images/toy-inside-001-toys-L86q49B-600.jpg,,,3,1,6,5Yrs+,,0,2,[]
7679504941228,beach-sand-toys,Beach Sand Toys,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Language and Communication, Learning & Education, Logical Thinking, Mathematical, Problem Solving, Visual",https://atlas-content-cdn.pixelsquid.com/assets_v2/257/2573057540539553072/jpeg-600/G03.jpg,300,1162,7679504941228,"A colorful set of beach toys perfect for building sandcastles and playing in the sand. The set includes a beach ball, a bucket with a lid and sieve, a shovel, a rake, and a starfish.",0,https://atlas-content-cdn.pixelsquid.com/assets_v2/257/2573057540539553072/jpeg-600/G03.jpg,,,3,1,12,5Yrs+,,0,0,[]
7679504941229,kid's-watering-can,Kid's Watering Can,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Language & Communication, Learning & Education, Logical Thinking, Mathematical, Problem Solving, Visual",https://atlas-content-cdn.pixelsquid.com/stock-images/kids-watering-can-Ya0e0Y3-600.jpg,30,1163,7679504941229,"A bright blue watering can made of durable plastic. It features a wide spout for easy pouring, a comfortable handle, and a sturdy base.",0,https://atlas-content-cdn.pixelsquid.com/stock-images/kids-watering-can-Ya0e0Y3-600.jpg,,,3,1,8,5Yrs+,,0,0,[]
7679504941230,camera-toy,Camera Toy,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Imagination, Language and Communication, Learning & Education, Mathematical, Problem Solving, Visual",https://atlas-content-cdn.pixelsquid.com/stock-images/camera-35mm-Q9xNPx6-600.jpg,120,1164,7679504941230,"A colorful and retro-looking toy camera designed for children. It features a bright red and yellow body, a blue lens, and a viewfinder. The camera is perfect for imaginative play and encourages creativity.",0,https://atlas-content-cdn.pixelsquid.com/stock-images/camera-35mm-Q9xNPx6-600.jpg,,,3,1,7,5Yrs+,,1,3,[]
7679504941231,toy-piano,Toy Piano,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Games & Puzzles, Language and Communication, Logical Thinking, Problem Solving, Social, Tactile",https://atlas-content-cdn.pixelsquid.com/stock-images/toy-piano-musical-ywL0eNE-600.jpg,30,1165,7679504941231,"A colorful and interactive activity table designed for young children. It features a piano keyboard, various sound effects, and different activities like spinning dials and sliding sliders. The table is perfect for stimulating sensory development, fine motor skills, and musical exploration.",0,https://atlas-content-cdn.pixelsquid.com/stock-images/toy-piano-musical-ywL0eNE-600.jpg,,,3,1,8,5Yrs+,,0,0,[]
7679504941232,plane-toy,Plane Toy,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Fine Motor, Imagination, Language and Communication, Learning & Education, Tactile",https://atlas-content-cdn.pixelsquid.com/stock-images/plane-toy-cartoon-airplane-o0Q9Wv0-600.jpg,180,1166,7679504941232,"A colorful and eco-friendly seaplane toy made from recycled plastic. It features a bright green body, yellow floats, and a spinning propeller. The seaplane is designed for imaginative play and is suitable for both indoor and outdoor use.",0,https://atlas-content-cdn.pixelsquid.com/stock-images/plane-toy-cartoon-airplane-o0Q9Wv0-600.jpg,,,5,1,11,5Yrs+,,1,3,[]
7679504941233,toy-kitchen,Toy Kitchen,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Fine Motor, Imagination, Language and Communication, Learning & Education, Mathematical, Tactile",https://atlas-content-cdn.pixelsquid.com/assets_v2/209/2090113813838828908/jpeg-600/G03.jpg,35,1167,7679504941233,"A large and interactive play kitchen designed for children. It features realistic appliances like a stove, oven, microwave, refrigerator, and coffee maker, as well as various accessories such as pots, pans, utensils, and food items. The kitchen is made of durable plastic and is easy to assemble.",0,https://atlas-content-cdn.pixelsquid.com/assets_v2/209/2090113813838828908/jpeg-600/G03.jpg,,,3,1,6,5Yrs+,,0,2,[]
7679504941234,toy-rocket,Toy Rocket,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Emotional, Gross Motor, Imagination, Kitchen, Language and Communication, Pretend Play, Social",https://atlas-content-cdn.pixelsquid.com/assets_v2/290/2903136470229324966/jpeg-600/G03.jpg,15,1168,7679504941234,"A vintage-style rocket toy with a sleek, metallic design. It features a red nose cone, silver body, and detailed fins. The rocket has a charming, retro aesthetic that will appeal to children and adults alike.",0,https://atlas-content-cdn.pixelsquid.com/assets_v2/290/2903136470229324966/jpeg-600/G03.jpg,,,3,1,7,5Yrs+,,1,3,[]
7679504941235,toy-robot,Toy Robot,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Emotional, Fine Motor, Imagination, Kitchen, Language and Communication, Pretend Play, Social",https://atlas-content-cdn.pixelsquid.com/stock-images/toy-robot-zeLyzw0-600.jpg,20,1169,7679504941235,"A charming robot toy with a retro design. It features a colorful body with a yellow head, blue torso, and red arms and legs. The robot has a friendly expression and is equipped with roller skates for added fun.",0,https://atlas-content-cdn.pixelsquid.com/stock-images/toy-robot-zeLyzw0-600.jpg,,,3,1,12,5Yrs+,,0,0,[]
7679504941236,toy-house,Toy House,,2022-03-18T15:31:35-04:00,2024-11-12T09:13:31-05:00,Dino Verse,"5Yrs+, Coordination, Creative, Language and Communication, Learning & Education, Memory, Pre Braille, Tactile",https://atlas-content-cdn.pixelsquid.com/assets_v2/258/2580571055076677480/jpeg-600/G03.jpg,40,1170,7679504941236,"A colorful and durable playhouse made of plastic. It features a blue body, a yellow roof, a red door, and multiple windows. The playhouse has a spacious interior and is perfect for imaginative play.",0,https://atlas-content-cdn.pixelsquid.com/assets_v2/258/2580571055076677480/jpeg-600/G03.jpg,,,5,1,11,5Yrs+,,1,3,[]
